Datetime,DailyMaximumDryBulbTemperature
2011-01-01,34.0
2011-01-02,37.0
2011-01-03,31.0
2011-01-04,32.0
2011-01-05,35.0
2011-01-06,45.0
2011-01-07,44.0
2011-01-08,39.0
2011-01-09,30.0
2011-01-10,33.0
2011-01-11,35.0
2011-01-12,46.0
2011-01-13,43.0
2011-01-14,47.0
2011-01-15,48.0
2011-01-16,53.0
2011-01-17,51.0
2011-01-18,44.0
2011-01-19,44.0
2011-01-20,50.0
2011-01-21,51.0
2011-01-22,50.0
2011-01-23,47.0
2011-01-24,53.0
2011-01-25,52.0
2011-01-26,53.0
2011-01-27,59.0
2011-01-28,55.0
2011-01-29,51.0
2011-01-30,42.0
2011-01-31,45.0
2011-02-01,39.0
2011-02-02,46.0
2011-02-03,53.0
2011-02-04,53.0
2011-02-05,51.0
2011-02-06,54.0
2011-02-07,48.0
2011-02-08,36.0
2011-02-09,44.0
2011-02-10,51.0
2011-02-11,57.0
2011-02-12,62.0
2011-02-13,59.0
2011-02-14,48.0
2011-02-15,52.0
2011-02-16,37.0
2011-02-17,33.0
2011-02-18,36.0
2011-02-19,34.0
2011-02-20,34.0
2011-02-21,37.0
2011-02-22,39.0
2011-02-23,37.0
2011-02-24,34.0
2011-02-25,24.0
2011-02-26,20.0
2011-02-27,32.0
2011-02-28,38.0
2011-03-01,45.0
2011-03-02,49.0
2011-03-03,42.0
2011-03-04,48.0
2011-03-05,46.0
2011-03-06,44.0
2011-03-07,39.0
2011-03-08,45.0
2011-03-09,58.0
2011-03-10,47.0
2011-03-11,47.0
2011-03-12,47.0
2011-03-13,51.0
2011-03-14,50.0
2011-03-15,51.0
2011-03-16,41.0
2011-03-17,42.0
2011-03-18,42.0
2011-03-19,36.0
2011-03-20,47.0
2011-03-21,45.0
2011-03-22,42.0
2011-03-23,44.0
2011-03-24,44.0
2011-03-25,43.0
2011-03-26,45.0
2011-03-27,44.0
2011-03-28,47.0
2011-03-29,50.0
2011-03-30,58.0
