DATE,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation
2011-01-01,34.0,16.0,130.0,9.0,0.13
2011-01-02,37.0,7.0,190.0,13.0,0.0
2011-01-03,31.0,0.0,60.0,8.0,0.0
2011-01-04,32.0,-2.0,270.0,16.0,0.0
2011-01-05,35.0,3.0,50.0,7.0,0.0
2011-01-06,45.0,10.0,60.0,8.0,0.0
2011-01-07,44.0,12.0,90.0,6.0,0.0
2011-01-08,39.0,16.0,300.0,17.0,0.0
2011-01-09,30.0,3.0,80.0,9.0,0.0
2011-01-10,33.0,-1.0,60.0,21.0,0.0
2011-01-11,35.0,15.0,170.0,20.0,0.03
2011-01-12,46.0,26.0,170.0,23.0,0.0
2011-01-13,43.0,32.0,280.0,17.0,0.2
2011-01-14,47.0,28.0,70.0,10.0,0.0
2011-01-15,48.0,26.0,60.0,7.0,0.0
2011-01-16,53.0,36.0,250.0,14.0,0.03
2011-01-17,51.0,26.0,310.0,21.0,0.0
2011-01-18,44.0,24.0,260.0,21.0,0.0
2011-01-19,44.0,24.0,320.0,23.0,0.01
2011-01-20,50.0,19.0,80.0,7.0,0.0
2011-01-21,51.0,21.0,110.0,10.0,0.01
2011-01-22,50.0,22.0,20.0,14.0,0.0
2011-01-23,47.0,19.0,270.0,7.0,0.0
2011-01-24,53.0,22.0,110.0,8.0,0.0
2011-01-25,52.0,19.0,10.0,10.0,0.0
2011-01-26,53.0,18.0,70.0,12.0,0.0
2011-01-27,59.0,22.0,60.0,12.0,0.0
2011-01-28,55.0,19.0,270.0,18.0,0.0
2011-01-29,51.0,22.0,260.0,21.0,0.0
2011-01-30,42.0,27.0,200.0,21.0,0.02
2011-01-31,45.0,21.0,20.0,22.0,0.0
2011-02-01,39.0,15.0,20.0,26.0,0.0
2011-02-02,46.0,7.0,80.0,9.0,0.0
2011-02-03,53.0,15.0,90.0,9.0,0.0
2011-02-04,53.0,20.0,70.0,9.0,0.0
2011-02-05,51.0,26.0,300.0,14.0,0.0
2011-02-06,54.0,22.0,110.0,10.0,0.0
2011-02-07,48.0,20.0,310.0,38.0,0.0
2011-02-08,36.0,20.0,10.0,22.0,0.0
2011-02-09,44.0,13.0,360.0,13.0,0.0
2011-02-10,51.0,10.0,140.0,8.0,0.0
2011-02-11,57.0,16.0,160.0,13.0,0.0
2011-02-12,62.0,17.0,230.0,32.0,0.0
2011-02-13,59.0,17.0,200.0,24.0,0.0
2011-02-14,48.0,26.0,200.0,39.0,0.0
2011-02-15,52.0,37.0,200.0,53.0,0.0
2011-02-16,37.0,17.0,260.0,39.0,0.34
2011-02-17,33.0,8.0,180.0,21.0,0.0
2011-02-18,36.0,16.0,190.0,16.0,0.02
2011-02-19,34.0,21.0,270.0,26.0,0.01
2011-02-20,34.0,22.0,290.0,20.0,0.0
2011-02-21,37.0,19.0,290.0,14.0,0.0
2011-02-22,39.0,18.0,330.0,22.0,0.0
2011-02-23,37.0,24.0,260.0,29.0,0.0
2011-02-24,34.0,24.0,160.0,31.0,0.24
2011-02-25,24.0,10.0,10.0,24.0,0.12
2011-02-26,20.0,-10.0,20.0,16.0,0.0
2011-02-27,32.0,-1.0,180.0,13.0,0.0
2011-02-28,38.0,25.0,130.0,31.0,0.0
2011-03-01,45.0,20.0,170.0,21.0,0.0
2011-03-02,49.0,33.0,190.0,37.0,0.03
2011-03-03,42.0,31.0,230.0,24.0,0.03
2011-03-04,48.0,27.0,180.0,24.0,0.0
2011-03-05,46.0,36.0,180.0,16.0,0.26
2011-03-06,44.0,33.0,300.0,20.0,0.41
2011-03-07,39.0,30.0,300.0,30.0,0.01
2011-03-08,45.0,31.0,220.0,21.0,0.02
2011-03-09,58.0,35.0,190.0,25.0,0.0
2011-03-10,47.0,32.0,260.0,39.0,0.08
2011-03-11,47.0,26.0,90.0,36.0,0.0
2011-03-12,47.0,24.0,210.0,24.0,0.0
2011-03-13,51.0,28.0,180.0,43.0,0.13
2011-03-14,50.0,33.0,230.0,28.0,0.0
2011-03-15,51.0,36.0,260.0,37.0,0.22
2011-03-16,41.0,26.0,230.0,37.0,0.31
2011-03-17,42.0,22.0,170.0,28.0,0.01
2011-03-18,42.0,28.0,190.0,41.0,0.01
2011-03-19,36.0,25.0,180.0,29.0,0.03
2011-03-20,47.0,30.0,170.0,39.0,0.0
2011-03-21,45.0,28.0,300.0,31.0,0.07
2011-03-22,42.0,23.0,210.0,20.0,0.0
2011-03-23,44.0,27.0,190.0,32.0,0.01
2011-03-24,44.0,28.0,180.0,48.0,0.07
2011-03-25,43.0,29.0,220.0,36.0,0.0
2011-03-26,45.0,30.0,270.0,39.0,0.04
2011-03-27,44.0,29.0,260.0,29.0,0.01
2011-03-28,47.0,20.0,200.0,14.0,0.0
2011-03-29,50.0,28.0,260.0,23.0,0.0
2011-03-30,58.0,31.0,340.0,14.0,0.0
2011-03-31,69.0,23.0,310.0,18.0,0.0
2011-04-01,73.0,29.0,260.0,22.0,0.0
2011-04-02,48.0,26.0,300.0,35.0,0.01
2011-04-03,50.0,20.0,90.0,44.0,0.0
2011-04-04,64.0,24.0,270.0,18.0,0.0
2011-04-05,55.0,25.0,260.0,25.0,0.03
2011-04-06,52.0,19.0,220.0,36.0,0.0
2011-04-07,37.0,23.0,90.0,130.0,0.03
2011-04-08,45.0,24.0,10.0,26.0,0.0
2011-04-09,46.0,16.0,360.0,28.0,0.0
2011-04-10,56.0,23.0,210.0,21.0,0.0
2011-04-11,53.0,28.0,340.0,24.0,0.0
2011-04-12,56.0,19.0,210.0,81.0,0.0
2011-04-13,46.0,23.0,310.0,38.0,0.0
2011-04-14,51.0,22.0,260.0,25.0,0.0
2011-04-15,51.0,32.0,260.0,26.0,0.03
2011-04-16,64.0,43.0,270.0,26.0,0.01
2011-04-17,60.0,44.0,320.0,33.0,0.68
2011-04-18,52.0,33.0,80.0,33.0,0.43
2011-04-19,57.0,28.0,200.0,21.0,0.0
2011-04-20,49.0,32.0,90.0,38.0,0.45
2011-04-21,43.0,26.0,210.0,37.0,0.54
2011-04-22,54.0,23.0,270.0,21.0,0.0
2011-04-23,49.0,38.0,260.0,24.0,0.2
2011-04-24,51.0,37.0,300.0,32.0,0.19
2011-04-25,50.0,29.0,250.0,49.0,0.01
2011-04-26,50.0,25.0,90.0,51.0,0.0
2011-04-27,61.0,24.0,210.0,28.0,0.0
2011-04-28,50.0,29.0,270.0,36.0,0.05
2011-04-29,44.0,22.0,330.0,36.0,0.03
2011-04-30,53.0,18.0,230.0,18.0,0.0
2011-05-01,63.0,20.0,30.0,18.0,0.0
2011-05-02,67.0,38.0,260.0,38.0,0.0
2011-05-03,61.0,33.0,30.0,22.0,0.0
2011-05-04,71.0,26.0,130.0,13.0,0.0
2011-05-05,74.0,31.0,240.0,24.0,0.0
2011-05-06,72.0,34.0,240.0,22.0,0.0
2011-05-07,64.0,39.0,220.0,33.0,0.11
2011-05-08,51.0,32.0,320.0,31.0,0.09
2011-05-09,53.0,30.0,10.0,35.0,0.0
2011-05-10,66.0,33.0,330.0,17.0,0.0
2011-05-11,69.0,32.0,230.0,29.0,0.0
2011-05-12,66.0,37.0,270.0,28.0,0.0
2011-05-13,76.0,33.0,190.0,35.0,0.0
2011-05-14,67.0,34.0,30.0,53.0,0.0
2011-05-15,41.0,32.0,230.0,33.0,0.16
2011-05-16,51.0,31.0,180.0,21.0,0.01
2011-05-17,45.0,35.0,170.0,25.0,0.19
2011-05-18,53.0,36.0,350.0,29.0,0.01
2011-05-19,64.0,32.0,330.0,23.0,0.0
2011-05-20,69.0,31.0,30.0,39.0,0.0
2011-05-21,65.0,41.0,150.0,17.0,0.06
2011-05-22,63.0,37.0,180.0,25.0,0.18
2011-05-23,54.0,35.0,280.0,31.0,0.08
2011-05-24,63.0,29.0,260.0,20.0,0.0
2011-05-25,51.0,33.0,240.0,33.0,0.21
2011-05-26,51.0,33.0,240.0,29.0,0.0
2011-05-27,56.0,38.0,250.0,38.0,0.04
2011-05-28,45.0,33.0,290.0,23.0,0.42
2011-05-29,51.0,33.0,320.0,29.0,0.05
2011-05-30,57.0,30.0,260.0,25.0,0.0
2011-05-31,62.0,40.0,180.0,45.0,0.02
2011-06-01,52.0,35.0,260.0,29.0,0.08
2011-06-02,56.0,31.0,250.0,23.0,0.0
2011-06-03,63.0,25.0,90.0,26.0,0.0
2011-06-04,70.0,37.0,150.0,38.0,0.0
2011-06-05,66.0,43.0,210.0,28.0,0.09
2011-06-06,56.0,44.0,260.0,30.0,0.37
2011-06-07,69.0,35.0,330.0,20.0,0.0
2011-06-08,71.0,33.0,330.0,62.0,0.0
2011-06-09,73.0,36.0,10.0,16.0,0.0
2011-06-10,73.0,41.0,240.0,26.0,0.0
2011-06-11,62.0,41.0,270.0,23.0,0.05
2011-06-12,74.0,44.0,320.0,23.0,0.0
2011-06-13,75.0,46.0,30.0,35.0,0.0
2011-06-14,81.0,37.0,160.0,36.0,0.0
2011-06-15,75.0,37.0,320.0,28.0,0.0
2011-06-16,70.0,38.0,210.0,114.0,0.0
2011-06-17,78.0,31.0,310.0,22.0,0.0
2011-06-18,71.0,40.0,310.0,32.0,0.0
2011-06-19,73.0,41.0,360.0,22.0,0.0
2011-06-20,84.0,39.0,330.0,18.0,0.0
2011-06-21,89.0,41.0,210.0,177.0,0.0
2011-06-22,90.0,43.0,270.0,31.0,0.0
2011-06-23,81.0,49.0,280.0,33.0,0.0
2011-06-24,79.0,39.0,260.0,25.0,0.0
2011-06-25,79.0,37.0,240.0,20.0,0.0
2011-06-26,81.0,48.0,260.0,22.0,0.0
2011-06-27,85.0,42.0,250.0,32.0,0.0
2011-06-28,65.0,51.0,180.0,24.0,0.54
2011-06-29,71.0,48.0,280.0,23.0,0.0
2011-06-30,77.0,47.0,340.0,20.0,0.0
2011-07-01,84.0,39.0,10.0,12.0,0.0
2011-07-02,92.0,43.0,270.0,25.0,0.0
2011-07-03,88.0,48.0,300.0,17.0,0.0
2011-07-04,90.0,45.0,230.0,20.0,0.0
2011-07-05,94.0,48.0,330.0,23.0,0.0
2011-07-06,96.0,49.0,250.0,24.0,0.0
2011-07-07,89.0,50.0,310.0,29.0,0.0
2011-07-08,86.0,48.0,30.0,58.0,0.0
2011-07-09,87.0,43.0,270.0,51.0,0.0
2011-07-10,86.0,41.0,280.0,30.0,0.0
2011-07-11,84.0,45.0,280.0,31.0,0.0
2011-07-12,81.0,45.0,260.0,38.0,0.0
2011-07-13,77.0,51.0,270.0,68.0,0.0
2011-07-14,75.0,46.0,90.0,54.0,0.0
2011-07-15,81.0,40.0,270.0,30.0,0.0
2011-07-16,78.0,43.0,250.0,28.0,0.0
2011-07-17,81.0,37.0,170.0,36.0,0.0
2011-07-18,84.0,39.0,100.0,41.0,0.0
2011-07-19,77.0,48.0,280.0,24.0,0.0
2011-07-20,84.0,39.0,260.0,23.0,0.0
2011-07-21,84.0,42.0,20.0,61.0,0.0
2011-07-22,85.0,43.0,260.0,20.0,0.0
2011-07-23,93.0,41.0,260.0,26.0,0.0
2011-07-24,91.0,46.0,260.0,29.0,0.0
2011-07-25,85.0,42.0,270.0,30.0,0.0
2011-07-26,83.0,45.0,320.0,21.0,0.0
2011-07-27,88.0,42.0,340.0,20.0,0.0
2011-07-28,93.0,45.0,250.0,23.0,0.0
2011-07-29,96.0,45.0,260.0,22.0,0.0
2011-07-30,93.0,53.0,290.0,29.0,0.0
2011-07-31,93.0,50.0,260.0,32.0,0.0
2011-08-01,90.0,45.0,270.0,32.0,0.0
2011-08-02,90.0,42.0,200.0,29.0,0.0
2011-08-03,90.0,38.0,290.0,26.0,0.0
2011-08-04,87.0,39.0,160.0,28.0,0.0
2011-08-05,89.0,45.0,190.0,20.0,0.0
2011-08-06,89.0,48.0,250.0,28.0,0.0
2011-08-07,87.0,45.0,270.0,21.0,0.0
2011-08-08,86.0,45.0,250.0,24.0,0.0
2011-08-09,86.0,46.0,30.0,20.0,0.0
2011-08-10,87.0,42.0,250.0,23.0,0.0
2011-08-11,87.0,42.0,260.0,22.0,0.0
2011-08-12,90.0,44.0,260.0,26.0,0.0
2011-08-13,88.0,46.0,290.0,31.0,0.0
2011-08-14,85.0,47.0,260.0,31.0,0.0
2011-08-15,83.0,37.0,270.0,20.0,0.0
2011-08-16,89.0,40.0,250.0,22.0,0.0
2011-08-17,87.0,40.0,250.0,23.0,0.0
2011-08-18,88.0,42.0,340.0,20.0,0.0
2011-08-19,89.0,42.0,90.0,18.0,0.0
2011-08-20,91.0,43.0,190.0,29.0,0.0
2011-08-21,88.0,45.0,260.0,25.0,0.0
2011-08-22,86.0,40.0,260.0,21.0,0.0
2011-08-23,92.0,40.0,120.0,22.0,0.0
2011-08-24,94.0,47.0,270.0,25.0,0.0
2011-08-25,90.0,42.0,150.0,59.0,0.0
2011-08-26,94.0,42.0,160.0,28.0,0.0
2011-08-27,94.0,49.0,180.0,32.0,0.0
2011-08-28,91.0,39.0,260.0,30.0,0.0
2011-08-29,89.0,42.0,240.0,23.0,0.0
2011-08-30,88.0,42.0,310.0,24.0,0.0
2011-08-31,79.0,44.0,330.0,24.0,0.0
2011-09-01,78.0,37.0,330.0,22.0,0.0
2011-09-02,86.0,30.0,10.0,17.0,0.0
2011-09-03,90.0,39.0,30.0,13.0,0.0
2011-09-04,91.0,36.0,200.0,45.0,0.0
2011-09-05,87.0,46.0,260.0,23.0,0.0
2011-09-06,90.0,37.0,170.0,21.0,0.0
2011-09-07,93.0,38.0,220.0,23.0,0.0
2011-09-08,90.0,52.0,80.0,23.0,0.0
2011-09-09,90.0,53.0,30.0,25.0,0.0
2011-09-10,89.0,43.0,10.0,53.0,0.0
2011-09-11,85.0,45.0,210.0,23.0,0.02
2011-09-12,85.0,43.0,130.0,21.0,0.0
2011-09-13,86.0,38.0,80.0,39.0,0.0
2011-09-14,84.0,42.0,210.0,99.0,0.16
2011-09-15,80.0,45.0,310.0,35.0,0.0
2011-09-16,73.0,34.0,280.0,23.0,0.0
2011-09-17,74.0,31.0,280.0,16.0,0.0
2011-09-18,82.0,32.0,270.0,16.0,0.0
2011-09-19,84.0,35.0,240.0,23.0,0.0
2011-09-20,85.0,35.0,340.0,20.0,0.0
2011-09-21,88.0,34.0,300.0,15.0,0.0
2011-09-22,90.0,35.0,280.0,18.0,0.0
2011-09-23,92.0,35.0,150.0,25.0,0.0
2011-09-24,86.0,38.0,260.0,30.0,0.0
2011-09-25,67.0,36.0,280.0,29.0,0.0
2011-09-26,77.0,31.0,160.0,14.0,0.0
2011-09-27,83.0,37.0,320.0,22.0,0.0
2011-09-28,86.0,35.0,330.0,12.0,0.0
2011-09-29,89.0,38.0,180.0,31.0,0.0
2011-09-30,88.0,40.0,190.0,33.0,0.0
2011-10-01,74.0,37.0,190.0,41.0,0.0
2011-10-02,72.0,31.0,200.0,30.0,0.0
2011-10-03,67.0,29.0,190.0,35.0,0.0
2011-10-04,55.0,42.0,180.0,25.0,0.06
2011-10-05,45.0,35.0,240.0,33.0,0.16
2011-10-06,49.0,35.0,310.0,20.0,0.0
2011-10-07,58.0,36.0,330.0,23.0,0.0
2011-10-08,67.0,28.0,120.0,12.0,0.0
2011-10-09,68.0,23.0,230.0,16.0,0.0
2011-10-10,57.0,42.0,260.0,22.0,0.27
2011-10-11,62.0,33.0,270.0,26.0,0.0
2011-10-12,71.0,26.0,140.0,10.0,0.0
2011-10-13,74.0,28.0,260.0,14.0,0.0
2011-10-14,79.0,34.0,240.0,28.0,0.0
