Datetime,DailyMinimumDryBulbTemperature
2011-01-01,16.0
2011-01-02,7.0
2011-01-03,0.0
2011-01-04,-2.0
2011-01-05,3.0
2011-01-06,10.0
2011-01-07,12.0
2011-01-08,16.0
2011-01-09,3.0
2011-01-10,-1.0
2011-01-11,15.0
2011-01-12,26.0
2011-01-13,32.0
2011-01-14,28.0
2011-01-15,26.0
2011-01-16,36.0
2011-01-17,26.0
2011-01-18,24.0
2011-01-19,24.0
2011-01-20,19.0
2011-01-21,21.0
2011-01-22,22.0
2011-01-23,19.0
2011-01-24,22.0
2011-01-25,19.0
2011-01-26,18.0
2011-01-27,22.0
2011-01-28,19.0
2011-01-29,22.0
2011-01-30,27.0
2011-01-31,21.0
2011-02-01,15.0
2011-02-02,7.0
2011-02-03,15.0
2011-02-04,20.0
2011-02-05,26.0
2011-02-06,22.0
2011-02-07,20.0
2011-02-08,20.0
2011-02-09,13.0
2011-02-10,10.0
2011-02-11,16.0
2011-02-12,17.0
2011-02-13,17.0
2011-02-14,26.0
2011-02-15,37.0
2011-02-16,17.0
2011-02-17,8.0
2011-02-18,16.0
2011-02-19,21.0
2011-02-20,22.0
2011-02-21,19.0
2011-02-22,18.0
2011-02-23,24.0
2011-02-24,24.0
2011-02-25,10.0
2011-02-26,-10.0
2011-02-27,-1.0
2011-02-28,25.0
2011-03-01,20.0
2011-03-02,33.0
2011-03-03,31.0
2011-03-04,27.0
2011-03-05,36.0
2011-03-06,33.0
2011-03-07,30.0
2011-03-08,31.0
2011-03-09,35.0
2011-03-10,32.0
2011-03-11,26.0
2011-03-12,24.0
2011-03-13,28.0
2011-03-14,33.0
2011-03-15,36.0
2011-03-16,26.0
2011-03-17,22.0
2011-03-18,28.0
2011-03-19,25.0
2011-03-20,30.0
2011-03-21,28.0
2011-03-22,23.0
2011-03-23,27.0
2011-03-24,28.0
2011-03-25,29.0
2011-03-26,30.0
2011-03-27,29.0
2011-03-28,20.0
2011-03-29,28.0
2011-03-30,31.0
2011-03-31,23.0
2011-04-01,29.0
2011-04-02,26.0
2011-04-03,20.0
2011-04-04,24.0
2011-04-05,25.0
2011-04-06,19.0
2011-04-07,23.0
2011-04-08,24.0
2011-04-09,16.0
2011-04-10,23.0
2011-04-11,28.0
2011-04-12,19.0
2011-04-13,23.0
2011-04-14,22.0
2011-04-15,32.0
2011-04-16,43.0
2011-04-17,44.0
2011-04-18,33.0
2011-04-19,28.0
2011-04-20,32.0
2011-04-21,26.0
2011-04-22,23.0
2011-04-23,38.0
2011-04-24,37.0
2011-04-25,29.0
2011-04-26,25.0
2011-04-27,24.0
2011-04-28,29.0
2011-04-29,22.0
2011-04-30,18.0
2011-05-01,20.0
2011-05-02,38.0
2011-05-03,33.0
2011-05-04,26.0
2011-05-05,31.0
2011-05-06,34.0
2011-05-07,39.0
2011-05-08,32.0
2011-05-09,30.0
2011-05-10,33.0
2011-05-11,32.0
2011-05-12,37.0
2011-05-13,33.0
2011-05-14,34.0
2011-05-15,32.0
2011-05-16,31.0
2011-05-17,35.0
2011-05-18,36.0
2011-05-19,32.0
